"Plot-Titel: 10349997"
"Anz.","Datum Zeit, GMT+01:00","Temp., °C (LGR S/N: 10349997, SEN S/N: 10349997, LBL: CFB045_NW_TEMP)","Intensität, Lux (LGR S/N: 10349997, SEN S/N: 10349997, LBL: CFB045_NW_Light)","Koppler verbunden (LGR S/N: 10349997)","Host verbunden (LGR S/N: 10349997)","Angehalten (LGR S/N: 10349997)","Dateiende (LGR S/N: 10349997)"
248,12.01.22 06:10:00 PM,4.623,0.0,,,,
249,12.01.22 06:20:00 PM,4.519,0.0,,,,
250,12.01.22 06:30:00 PM,4.415,0.0,,,,
251,12.01.22 06:40:00 PM,4.311,0.0,,,,
252,12.01.22 06:50:00 PM,4.415,0.0,,,,
253,12.01.22 07:00:00 PM,4.311,0.0,,,,
254,12.01.22 07:10:00 PM,4.415,0.0,,,,
255,12.01.22 07:20:00 PM,4.519,0.0,,,,
256,12.01.22 07:30:00 PM,4.519,0.0,,,,
257,12.01.22 07:40:00 PM,4.415,0.0,,,,
258,12.01.22 07:50:00 PM,4.415,0.0,,,,
259,12.01.22 08:00:00 PM,4.311,0.0,,,,
260,12.01.22 08:10:00 PM,4.415,0.0,,,,
261,12.01.22 08:20:00 PM,4.415,0.0,,,,
262,12.01.22 08:30:00 PM,4.311,0.0,,,,
263,12.01.22 08:40:00 PM,4.311,0.0,,,,
264,12.01.22 08:50:00 PM,4.102,0.0,,,,
265,12.01.22 09:00:00 PM,4.207,0.0,,,,
266,12.01.22 09:10:00 PM,4.311,0.0,,,,
267,12.01.22 09:20:00 PM,4.311,0.0,,,,
268,12.01.22 09:30:00 PM,4.311,0.0,,,,
269,12.01.22 09:40:00 PM,4.311,0.0,,,,
270,12.01.22 09:50:00 PM,4.207,0.0,,,,
271,12.01.22 10:00:00 PM,4.207,0.0,,,,
272,12.01.22 10:10:00 PM,4.311,0.0,,,,
273,12.01.22 10:20:00 PM,4.207,0.0,,,,
274,12.01.22 10:30:00 PM,4.207,0.0,,,,
275,12.01.22 10:40:00 PM,4.207,0.0,,,,
276,12.01.22 10:50:00 PM,4.207,0.0,,,,
277,12.01.22 11:00:00 PM,4.207,0.0,,,,
278,12.01.22 11:10:00 PM,4.207,0.0,,,,
279,12.01.22 11:20:00 PM,4.102,0.0,,,,
280,12.01.22 11:30:00 PM,4.102,0.0,,,,
281,12.01.22 11:40:00 PM,4.102,0.0,,,,
282,12.01.22 11:50:00 PM,4.102,0.0,,,,
283,12.02.22 12:00:00 AM,4.207,0.0,,,,
284,12.02.22 12:10:00 AM,4.207,0.0,,,,
285,12.02.22 12:20:00 AM,4.207,0.0,,,,
286,12.02.22 12:30:00 AM,4.102,0.0,,,,
287,12.02.22 12:40:00 AM,4.207,0.0,,,,
288,12.02.22 12:50:00 AM,4.207,0.0,,,,
289,12.02.22 01:00:00 AM,4.207,0.0,,,,
290,12.02.22 01:10:00 AM,4.102,0.0,,,,
291,12.02.22 01:20:00 AM,4.102,0.0,,,,
292,12.02.22 01:30:00 AM,4.102,0.0,,,,
293,12.02.22 01:40:00 AM,3.998,0.0,,,,
