"Plot-Titel: 10347379"
"Anz.","Datum Zeit, GMT+01:00","Temp., °C (LGR S/N: 10347379, SEN S/N: 10347379)","Intensität, Lux (LGR S/N: 10347379, SEN S/N: 10347379)","Batterie defekt (LGR S/N: 10347379)","Koppler verbunden (LGR S/N: 10347379)","Host verbunden (LGR S/N: 10347379)","Angehalten (LGR S/N: 10347379)","Dateiende (LGR S/N: 10347379)"
1,11.30.22 01:00:00 AM,7.280,0.0,,,,,
2,11.30.22 01:10:00 AM,7.280,0.0,,,,,
3,11.30.22 01:20:00 AM,7.381,0.0,,,,,
4,11.30.22 01:30:00 AM,7.381,0.0,,,,,
5,11.30.22 01:40:00 AM,7.381,0.0,,,,,
6,11.30.22 01:50:00 AM,7.381,0.0,,,,,
7,11.30.22 02:00:00 AM,7.381,0.0,,,,,
8,11.30.22 02:10:00 AM,7.381,0.0,,,,,
9,11.30.22 02:20:00 AM,7.280,0.0,,,,,
10,11.30.22 02:30:00 AM,7.280,0.0,,,,,
11,11.30.22 02:40:00 AM,7.481,0.0,,,,,
12,11.30.22 02:50:00 AM,7.481,0.0,,,,,
13,11.30.22 03:00:00 AM,7.481,0.0,,,,,
14,11.30.22 03:10:00 AM,7.481,0.0,,,,,
15,11.30.22 03:20:00 AM,7.481,0.0,,,,,
16,11.30.22 03:30:00 AM,7.280,0.0,,,,,
17,11.30.22 03:40:00 AM,7.179,0.0,,,,,
18,11.30.22 03:50:00 AM,7.280,0.0,,,,,
19,11.30.22 04:00:00 AM,7.280,0.0,,,,,
20,11.30.22 04:10:00 AM,7.280,0.0,,,,,
21,11.30.22 04:20:00 AM,7.280,0.0,,,,,
22,11.30.22 04:30:00 AM,7.179,0.0,,,,,
23,11.30.22 04:40:00 AM,7.079,0.0,,,,,
24,11.30.22 04:50:00 AM,7.079,0.0,,,,,
25,11.30.22 05:00:00 AM,7.179,0.0,,,,,
26,11.30.22 05:10:00 AM,7.079,0.0,,,,,
27,11.30.22 05:20:00 AM,7.079,0.0,,,,,
28,11.30.22 05:30:00 AM,7.079,0.0,,,,,
29,11.30.22 05:40:00 AM,7.179,0.0,,,,,
30,11.30.22 05:50:00 AM,6.978,0.0,,,,,
31,11.30.22 06:00:00 AM,6.877,0.0,,,,,
32,11.30.22 06:10:00 AM,6.877,0.0,,,,,
33,11.30.22 06:20:00 AM,6.978,0.0,,,,,
34,11.30.22 06:30:00 AM,6.877,0.0,,,,,
35,11.30.22 06:40:00 AM,6.877,0.0,,,,,
36,11.30.22 06:50:00 AM,6.877,0.0,,,,,
37,11.30.22 07:00:00 AM,6.775,0.0,,,,,
38,11.30.22 07:10:00 AM,6.775,0.0,,,,,
39,11.30.22 07:20:00 AM,6.775,0.0,,,,,
40,11.30.22 07:30:00 AM,6.877,0.0,,,,,
41,11.30.22 07:40:00 AM,6.877,0.0,,,,,
42,11.30.22 07:50:00 AM,6.978,21.5,,,,,
43,11.30.22 08:00:00 AM,6.877,204.5,,,,,
44,11.30.22 08:10:00 AM,6.978,269.1,,,,,
45,11.30.22 08:20:00 AM,6.978,344.4,,,,,
46,11.30.22 08:30:00 AM,7.079,355.2,,,,,
47,11.30.22 08:40:00 AM,7.179,430.6,,,,,
