"Plot Title: 10350033"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10350033, SEN S/N: 10350033)","Intensity, Lux (LGR S/N: 10350033, SEN S/N: 10350033)","Coupler Attached (LGR S/N: 10350033)","Host Connected (LGR S/N: 10350033)","Stopped (LGR S/N: 10350033)","End Of File (LGR S/N: 10350033)"
1,12/14/2019 12:00:00 AM,5.962,0.0,,,,
2,12/14/2019 12:10:00 AM,5.962,0.0,,,,
3,12/14/2019 12:20:00 AM,5.860,0.0,,,,
4,12/14/2019 12:30:00 AM,5.655,0.0,,,,
5,12/14/2019 12:40:00 AM,5.962,0.0,,,,
6,12/14/2019 12:50:00 AM,5.860,0.0,,,,
7,12/14/2019 01:00:00 AM,5.860,0.0,,,,
8,12/14/2019 01:10:00 AM,6.166,0.0,,,,
9,12/14/2019 01:20:00 AM,6.370,0.0,,,,
10,12/14/2019 01:30:00 AM,6.370,0.0,,,,
11,12/14/2019 01:40:00 AM,6.370,0.0,,,,
12,12/14/2019 01:50:00 AM,6.573,0.0,,,,
13,12/14/2019 02:00:00 AM,5.860,0.0,,,,
14,12/14/2019 02:10:00 AM,5.552,0.0,,,,
15,12/14/2019 02:20:00 AM,4.934,0.0,,,,
16,12/14/2019 02:30:00 AM,4.623,0.0,,,,
17,12/14/2019 02:40:00 AM,4.727,0.0,,,,
18,12/14/2019 02:50:00 AM,5.037,0.0,,,,
19,12/14/2019 03:00:00 AM,5.347,0.0,,,,
20,12/14/2019 03:10:00 AM,5.450,0.0,,,,
21,12/14/2019 03:20:00 AM,5.552,0.0,,,,
22,12/14/2019 03:30:00 AM,5.655,0.0,,,,
23,12/14/2019 03:40:00 AM,6.064,0.0,,,,
24,12/14/2019 03:50:00 AM,6.370,0.0,,,,
25,12/14/2019 04:00:00 AM,6.166,0.0,,,,
26,12/14/2019 04:10:00 AM,6.573,0.0,,,,
27,12/14/2019 04:20:00 AM,6.877,0.0,,,,
28,12/14/2019 04:30:00 AM,6.877,0.0,,,,
29,12/14/2019 04:40:00 AM,7.381,0.0,,,,
30,12/14/2019 04:50:00 AM,7.682,0.0,,,,
31,12/14/2019 05:00:00 AM,7.983,0.0,,,,
32,12/14/2019 05:10:00 AM,8.182,0.0,,,,
33,12/14/2019 05:20:00 AM,8.382,0.0,,,,
34,12/14/2019 05:30:00 AM,8.680,0.0,,,,
35,12/14/2019 05:40:00 AM,9.077,0.0,,,,
36,12/14/2019 05:50:00 AM,9.176,0.0,,,,
37,12/14/2019 06:00:00 AM,9.077,0.0,,,,
38,12/14/2019 06:10:00 AM,8.978,0.0,,,,
39,12/14/2019 06:20:00 AM,9.077,0.0,,,,
40,12/14/2019 06:30:00 AM,9.077,0.0,,,,
41,12/14/2019 06:40:00 AM,8.978,0.0,,,,
42,12/14/2019 06:50:00 AM,8.779,0.0,,,,
43,12/14/2019 07:00:00 AM,8.779,0.0,,,,
44,12/14/2019 07:10:00 AM,8.779,0.0,,,,
45,12/14/2019 07:20:00 AM,8.879,0.0,,,,
46,12/14/2019 07:30:00 AM,8.680,0.0,,,,
47,12/14/2019 07:40:00 AM,8.680,0.0,,,,
48,12/14/2019 07:50:00 AM,8.581,21.5,,,,
49,12/14/2019 08:00:00 AM,9.275,32.3,,,,
50,12/14/2019 08:10:00 AM,9.472,118.4,,,,
