"Plot Title: 10347394"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10347394, SEN S/N: 10347394)","Intensity, Lux (LGR S/N: 10347394, SEN S/N: 10347394)","Bad Battery (LGR S/N: 10347394)","Coupler Attached (LGR S/N: 10347394)","Host Connected (LGR S/N: 10347394)","Stopped (LGR S/N: 10347394)","End Of File (LGR S/N: 10347394)"
1,29/11/2020 18:00:00,3.367,0.0,Logged,,,,
2,29/11/2020 18:10:00,2.624,0.0,,,,,
3,29/11/2020 18:20:00,2.517,0.0,,,,,
4,29/11/2020 18:30:00,2.088,0.0,,,,,
5,29/11/2020 18:40:00,2.088,0.0,,,,,
6,29/11/2020 18:50:00,1.872,0.0,,,,,
7,29/11/2020 19:00:00,3.049,0.0,,,,,
8,29/11/2020 19:10:00,2.410,0.0,,,,,
9,29/11/2020 19:20:00,1.439,0.0,,,,,
10,29/11/2020 19:30:00,1.439,0.0,,,,,
11,29/11/2020 19:40:00,1.330,0.0,,,,,
12,29/11/2020 19:50:00,1.439,0.0,,,,,
13,29/11/2020 20:00:00,0.674,0.0,,,,,
14,29/11/2020 20:10:00,0.893,0.0,,,,,
15,29/11/2020 20:20:00,0.674,0.0,,,,,
16,29/11/2020 20:30:00,1.112,0.0,,,,,
17,29/11/2020 20:40:00,1.221,0.0,,,,,
18,29/11/2020 20:50:00,1.112,0.0,,,,,
19,29/11/2020 21:00:00,1.221,0.0,,,,,
20,29/11/2020 21:10:00,1.221,0.0,,,,,
21,29/11/2020 21:20:00,1.003,0.0,,,,,
22,29/11/2020 21:30:00,1.003,0.0,,,,,
23,29/11/2020 21:40:00,0.893,0.0,,,,,
24,29/11/2020 21:50:00,0.674,0.0,,,,,
25,29/11/2020 22:00:00,0.674,0.0,,,,,
26,29/11/2020 22:10:00,0.784,0.0,,,,,
27,29/11/2020 22:20:00,0.784,0.0,,,,,
28,29/11/2020 22:30:00,3.998,0.0,,,,,
29,29/11/2020 22:40:00,3.472,0.0,,,,,
30,29/11/2020 22:50:00,1.764,0.0,,,,,
31,29/11/2020 23:00:00,0.893,0.0,,,,,
32,29/11/2020 23:10:00,0.563,0.0,,,,,
33,29/11/2020 23:20:00,0.784,0.0,,,,,
34,29/11/2020 23:30:00,0.784,0.0,,,,,
35,29/11/2020 23:40:00,0.453,0.0,,,,,
36,29/11/2020 23:50:00,0.121,0.0,,,,,
37,30/11/2020 00:00:00,-0.102,0.0,,,,,
38,30/11/2020 00:10:00,0.232,0.0,,,,,
39,30/11/2020 00:20:00,0.232,0.0,,,,,
40,30/11/2020 00:30:00,0.232,0.0,,,,,
41,30/11/2020 00:40:00,0.343,0.0,,,,,
42,30/11/2020 00:50:00,0.343,0.0,,,,,
43,30/11/2020 01:00:00,0.232,0.0,,,,,
44,30/11/2020 01:10:00,0.232,0.0,,,,,
45,30/11/2020 01:20:00,0.343,0.0,,,,,
46,30/11/2020 01:30:00,0.563,0.0,,,,,
47,30/11/2020 01:40:00,0.563,0.0,,,,,
48,30/11/2020 01:50:00,0.563,0.0,,,,,
49,30/11/2020 02:00:00,0.232,0.0,,,,,
50,30/11/2020 02:10:00,0.010,0.0,,,,,
51,30/11/2020 02:20:00,-0.102,0.0,,,,,
52,30/11/2020 02:30:00,-0.437,0.0,,,,,
53,30/11/2020 02:40:00,-0.662,0.0,,,,,
54,30/11/2020 02:50:00,-0.325,0.0,,,,,
55,30/11/2020 03:00:00,-0.774,0.0,,,,,
56,30/11/2020 03:10:00,-0.549,0.0,,,,,
57,30/11/2020 03:20:00,-0.437,0.0,,,,,
58,30/11/2020 03:30:00,-1.228,0.0,,,,,
59,30/11/2020 03:40:00,-1.456,0.0,,,,,
60,30/11/2020 03:50:00,-1.456,0.0,,,,,
61,30/11/2020 04:00:00,-1.228,0.0,,,,,
62,30/11/2020 04:10:00,-1.228,0.0,,,,,
63,30/11/2020 04:20:00,-1.001,0.0,,,,,
64,30/11/2020 04:30:00,-1.228,0.0,,,,,
65,30/11/2020 04:40:00,-1.228,0.0,,,,,
66,30/11/2020 04:50:00,-0.887,0.0,,,,,
67,30/11/2020 05:00:00,-1.114,0.0,,,,,
68,30/11/2020 05:10:00,-0.774,0.0,,,,,
69,30/11/2020 05:20:00,-0.774,0.0,,,,,
70,30/11/2020 05:30:00,-0.662,0.0,,,,,
71,30/11/2020 05:40:00,-0.887,0.0,,,,,
72,30/11/2020 05:50:00,-0.887,0.0,,,,,
73,30/11/2020 06:00:00,-1.001,0.0,,,,,
74,30/11/2020 06:10:00,-1.001,0.0,,,,,
75,30/11/2020 06:20:00,-1.114,0.0,,,,,
76,30/11/2020 06:30:00,-1.114,0.0,,,,,
77,30/11/2020 06:40:00,-1.228,0.0,,,,,
78,30/11/2020 06:50:00,-1.456,0.0,,,,,
